2025-10-07 16:26:39 [pool-1-thread-1] WARN ru.agapovla.simplebank.transfer.TransferTask - Попытка перевода на свой же счет!
2025-10-07 16:26:39 [pool-1-thread-6] WARN ru.agapovla.simplebank.transfer.TransferTask - Попытка перевода на свой же счет!
2025-10-07 16:26:39 [pool-1-thread-2] INFO ru.agapovla.simplebank.service.AccountService - Перевод #0: Откуда: Account(id=8ccbfa7a-da7d-4642-a56f-d08b218b88e9, money=9096), Куда: Account(id=771a22eb-5ae6-488b-9bc5-c9a5a7fd67a8, money=10904), Сумма перевода: 904
2025-10-07 16:26:42 [pool-1-thread-1] INFO ru.agapovla.simplebank.service.AccountService - Перевод #16: Откуда: Account(id=f66d010d-6f05-45e4-b7b1-13a3e2c356bb, money=10053), Куда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=8712), Сумма перевода: 190
2025-10-07 16:26:42 [pool-1-thread-7] INFO ru.agapovla.simplebank.service.AccountService - Перевод #17: Откуда: Account(id=8add2152-28e2-4500-8145-0a9dbb1cf8ba, money=7275), Куда: Account(id=8ccbfa7a-da7d-4642-a56f-d08b218b88e9, money=9977), Сумма перевода: 374
2025-10-07 16:26:42 [pool-1-thread-3] INFO ru.agapovla.simplebank.service.AccountService - Перевод #18: Откуда: Account(id=8add2152-28e2-4500-8145-0a9dbb1cf8ba, money=6886), Куда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=9101), Сумма перевода: 389
2025-10-07 16:26:43 [pool-1-thread-6] INFO ru.agapovla.simplebank.service.AccountService - Перевод #19: Откуда: Account(id=f66d010d-6f05-45e4-b7b1-13a3e2c356bb, money=9147), Куда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=10007), Сумма перевода: 906
2025-10-07 16:26:43 [pool-1-thread-2] INFO ru.agapovla.simplebank.service.AccountService - Перевод #20: Откуда: Account(id=771a22eb-5ae6-488b-9bc5-c9a5a7fd67a8, money=12370), Куда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=10526), Сумма перевода: 519
2025-10-07 16:26:43 [pool-1-thread-4] INFO ru.agapovla.simplebank.service.AccountService - Перевод #21: Откуда: Account(id=8ccbfa7a-da7d-4642-a56f-d08b218b88e9, money=9346), Куда: Account(id=60628527-fbd3-4bfd-bba9-11a76d6bd08d, money=11725), Сумма перевода: 631
2025-10-07 16:26:43 [pool-1-thread-5] INFO ru.agapovla.simplebank.service.AccountService - Перевод #22: Откуда: Account(id=8ccbfa7a-da7d-4642-a56f-d08b218b88e9, money=8356), Куда: Account(id=771a22eb-5ae6-488b-9bc5-c9a5a7fd67a8, money=13360), Сумма перевода: 990
2025-10-07 16:26:43 [pool-1-thread-3] INFO ru.agapovla.simplebank.service.AccountService - Перевод #23: Откуда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=10284), Куда: Account(id=8add2152-28e2-4500-8145-0a9dbb1cf8ba, money=7128), Сумма перевода: 242
2025-10-07 16:26:44 [pool-1-thread-7] INFO ru.agapovla.simplebank.service.AccountService - Перевод #24: Откуда: Account(id=771a22eb-5ae6-488b-9bc5-c9a5a7fd67a8, money=12873), Куда: Account(id=60628527-fbd3-4bfd-bba9-11a76d6bd08d, money=12212), Сумма перевода: 487
2025-10-07 16:26:44 [pool-1-thread-1] INFO ru.agapovla.simplebank.service.AccountService - Перевод #25: Откуда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=9495), Куда: Account(id=8add2152-28e2-4500-8145-0a9dbb1cf8ba, money=7917), Сумма перевода: 789
2025-10-07 16:26:44 [pool-1-thread-2] INFO ru.agapovla.simplebank.service.AccountService - Перевод #26: Откуда: Account(id=771a22eb-5ae6-488b-9bc5-c9a5a7fd67a8, money=12752), Куда: Account(id=60628527-fbd3-4bfd-bba9-11a76d6bd08d, money=12333), Сумма перевода: 121
2025-10-07 16:26:44 [pool-1-thread-4] INFO ru.agapovla.simplebank.service.AccountService - Перевод #27: Откуда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=9298), Куда: Account(id=8add2152-28e2-4500-8145-0a9dbb1cf8ba, money=8114), Сумма перевода: 197
2025-10-07 16:26:44 [pool-1-thread-6] INFO ru.agapovla.simplebank.service.AccountService - Перевод #28: Откуда: Account(id=d6515302-22ad-4267-9c16-40f4f27d727f, money=8446), Куда: Account(id=771a22eb-5ae6-488b-9bc5-c9a5a7fd67a8, money=13604), Сумма перевода: 852
2025-10-07 16:26:45 [pool-1-thread-3] INFO ru.agapovla.simplebank.service.AccountService - Перевод #29: Откуда: Account(id=8add2152-28e2-4500-8145-0a9dbb1cf8ba, money=7603), Куда: Account(id=60628527-fbd3-4bfd-bba9-11a76d6bd08d, money=12844), Сумма перевода: 511
2025-10-07 16:26:45 [pool-1-thread-3] INFO ru.agapovla.simplebank.service.AccountService - Достигнуто максимальное количество транзакций: 30
